czywiesz1;kto używał noża bojowego M3?;13/bf/db/f9/78/52/c3/36/44/f8/f1/f2/d5/a9/56/55/wikiN_243__380_#bojowy#M3/wikiN_243__380_#bojowy#M3.xml;wikiN_243__380_#bojowy#M3
czywiesz2;jaki los spotkał sosnę Sosienkę z Brzezia, dzielnicy Raciborza?;6e/16/19/da/e5/10/32/14/a4/72/cb/88/fb/4e/49/25/wikiSosienka/wikiSosienka.xml;wikiSosienka
czywiesz3;ile kontenerów w ciągu roku przeładowuje się w porcie Keelung na Tajwanie?;62/c2/5b/12/3a/59/f5/c5/37/05/74/f4/bc/2b/04/16/wikiPort#Keelung/wikiPort#Keelung.xml;wikiPort#Keelung
czywiesz4;jak zakończyła się pierwsza bitwa morska wojny koreańskiej?;8b/a9/83/0f/bd/dd/cb/74/6d/d7/53/71/80/d3/52/75/wikiBitwa#pod#Pusanem/wikiBitwa#pod#Pusanem.xml;wikiBitwa#pod#Pusanem
czywiesz5;w jaki sposób zasilane są łaziki służące do badania planet i ich księżyców?;74/24/46/f7/ca/5b/01/ae/4c/f4/0b/39/b0/e1/bc/bf/wiki_321_azik#_40_badania#kosmosu_41_/wiki_321_azik#_40_badania#kosmosu_41_.xml;wiki_321_azik#_40_badania#kosmosu_41_
czywiesz6;czy Cyryl Lukaris sympatyzował z kalwinizmem?;d5/67/f9/97/ff/d6/79/22/84/4f/5e/4d/e2/10/c9/8e/wikiCyryl#Lukaris/wikiCyryl#Lukaris.xml;wikiCyryl#Lukaris
czywiesz7;kto stworzył pierwsze graficzne przedstawienie centrum dzisiejszych Katowic?;4b/a6/95/b0/fd/0d/b5/fc/a6/33/53/16/14/41/e7/a6/wikiErnest#Knippel/wikiErnest#Knippel.xml;wikiErnest#Knippel
czywiesz8;jakie implikacje dla potencjalnego życia pozaziemskiego ma bakteria GFAJ-1?;13/83/8b/14/41/0d/c4/98/0e/98/ad/ff/d7/ae/ed/9a/wikiGFAJ_45_1/wikiGFAJ_45_1.xml;wikiGFAJ_45_1
czywiesz9;co stało się przyczyną zamieszek w Grodzisku Dolnym w 1933?;9d/6b/37/77/5f/d7/97/b1/fe/98/85/c3/d1/41/24/db/wikiZamieszki#w#Grodzisku#Dolnym/wikiZamieszki#w#Grodzisku#Dolnym.xml;wikiZamieszki#w#Grodzisku#Dolnym
czywiesz10;żołnierze z ilu krajów są pochowani na cmentarzu wojennym nr 304?;7b/5a/a5/bf/02/8f/46/ff/19/54/ed/a0/f5/40/16/8a/wikiCmentarz#wojenny#nr#304#_45_#_321__261_kta#G_243_rna/wikiCmentarz#wojenny#nr#304#_45_#_321__261_kta#G_243_rna.xml;wikiCmentarz#wojenny#nr#304#_45_#_321__261_kta#G_243_rna
